/* DATA DESCRIPTION:
Citation:	Wu, Jiawang; Liu, Zhifei; Michard, Annie; Tachikawa, Kazuyo; Filippidi, Amalia; He, Zhiwei; Hennekam, Rick; Yang, Shouye; Davies, Gareth R; de Lange, Gert J (2022): Bulk sediment records of marine sediment cores from the Mediterranean Sea (Dataset S1). PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.946160 (DOI registration in progress), 
	In: Wu, J et al. (2022): Effect of barite-bound Sr on detrital Sr isotope systematics in marine sediments with pertinent Mediterranean examples. PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.946258 (DOI registration in progress)
Keyword(s):	Barite; Barium (Ba); marine sediments; Mediterranean Sea; Provenance; sapropel; Sr isotopes; Strontium (Sr)
Related to:	Wu, Jiawang; Liu, Zhifei; Michard, Annie; Tachikawa, Kazuyo; Filippidi, Amalia; He, Zhiwei; Hennekam, Rick; Yang, Shouye; Davies, Gareth R; de Lange, Gert J (2022): Effect of barite-bound Sr on detrital Sr isotope systematics in marine sediments. Chemical Geology, 587, 120613, https://doi.org/10.1016/j.chemgeo.2021.120613
Funding:	China Postdoctoral Science Foundation (URI: http://res.chinapostdoctor.org.cn/BshWeb/index.shtml), grant/award no. 2018M640418
	China Postdoctoral Science Foundation (URI: http://res.chinapostdoctor.org.cn/BshWeb/index.shtml), grant/award no. 2019T120352
	European Commission (EC), grant/award no. MAS2-CT93-0051: European Programme (PALEOFLUX)
	European Commission (EC), grant/award no. MAS3 CT97-0137: European Programme (SAP)
	European Commission (EC), grant/award no. MAST1-90022C: European Programme (MARFLUX)
	National Natural Science Foundation of China (NSFC) (URI: http://www.nsfc.gov.cn/publish/portal1/), grant/award no. 2018YFE0202402: National Key R&D Program of China
	National Natural Science Foundation of China (NSFC) (URI: http://www.nsfc.gov.cn/publish/portal1/), grant/award no. 41806064
	National Natural Science Foundation of China (NSFC) (URI: http://www.nsfc.gov.cn/publish/portal1/), grant/award no. 42006060
Coverage:	MEDIAN LATITUDE: 35.552424 * MEDIAN LONGITUDE: 23.094697 * SOUTH-BOUND LATITUDE: 33.375000 * WEST-BOUND LONGITUDE: 4.510000 * NORTH-BOUND LATITUDE: 39.661667 * EAST-BOUND LONGITUDE: 32.666667
	MINIMUM DEPTH, sediment/rock: 0.0025 m * MAXIMUM DEPTH, sediment/rock: 1.4000 m
Event(s):	AP1GC (AP1) * LATITUDE: 39.216667 * LONGITUDE: 19.113333 * ELEVATION: -811.0 m * METHOD/DEVICE: Gravity corer (GC) * COMMENT: RV Urania 1998
	BC03BC (BC03) * LATITUDE: 33.375000 * LONGITUDE: 24.766667 * ELEVATION: -2180.0 m * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: RVarion Dufresne 1994/5
	BC07BC (BC07) * LATITUDE: 33.666667 * LONGITUDE: 32.666667 * ELEVATION: -893.0 m * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: RVarion Dufresne 1994/5
	BC19BC (BC19) * LATITUDE: 33.798333 * LONGITUDE: 28.608333 * ELEVATION: -2750.0 m * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: RVarion Dufresne 1991
	CP10BC * LATITUDE: 34.545000 * LONGITUDE: 16.566667 * ELEVATION: -1501.0 m * Recovery: 0.35 m * CAMPAIGN: CORTADO * BASIS: Pelagia (URI: https://www.nioz.nl/en/facilities/research-vessels/RV-pelagia) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer)
	MT15PC (MT15) * LATITUDE: 38.896667 * LONGITUDE: 4.510000 * ELEVATION: -2373.0 m * METHOD/DEVICE: Piston corer (PC) * COMMENT: RV Tyro 1993
	SL09BC (SL09) * LATITUDE: 34.286667 * LONGITUDE: 31.523333 * ELEVATION: -2302.0 m * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: RV Logachev 1999
	SL29BC (SL29) * LATITUDE: 33.390000 * LONGITUDE: 32.503333 * ELEVATION: -1587.0 m * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: RV Logachev 1999
	SL73BC * LATITUDE: 39.661667 * LONGITUDE: 24.511667 * ELEVATION: -339.0 m * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: RV Logachev 1999
	SL114BC * LATITUDE: 35.286667 * LONGITUDE: 21.408333 * ELEVATION: -3390.0 m * CAMPAIGN: SMILABLE * BASIS: Professor Logachev (URI: http://www.pmge.ru/modules.php?name=Contenteng&pa=showpage&pid=12) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer)
	UM42BC (UM42) * LATITUDE: 34.953333 * LONGITUDE: 17.863333 * ELEVATION: -1375.0 m * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: RV Urania 1994
Parameter(s):	Event label (Event) * PI: Wu, Jiawang (https://orcid.org/0000-0002-1670-1536, jwwu@tongji.edu.cn)
	Latitude of event (Latitude) * PI: Wu, Jiawang (https://orcid.org/0000-0002-1670-1536, jwwu@tongji.edu.cn)
	Longitude of event (Longitude) * PI: Wu, Jiawang (https://orcid.org/0000-0002-1670-1536, jwwu@tongji.edu.cn)
	Elevation of event [m] (Elevation) * PI: Wu, Jiawang (https://orcid.org/0000-0002-1670-1536, jwwu@tongji.edu.cn)
	Sample code/label (Sample label) * PI: Wu, Jiawang (https://orcid.org/0000-0002-1670-1536, jwwu@tongji.edu.cn) * COMMENT: barite-Sr
	Sample type (Samp type) * PI: Wu, Jiawang (https://orcid.org/0000-0002-1670-1536, jwwu@tongji.edu.cn)
	DEPTH, sediment/rock [m] (Depth) * GEOCODE * PI: Wu, Jiawang (https://orcid.org/0000-0002-1670-1536, jwwu@tongji.edu.cn)
	AGE [ka BP] (Age) * GEOCODE * PI: Wu, Jiawang (https://orcid.org/0000-0002-1670-1536, jwwu@tongji.edu.cn) * METHOD/DEVICE: Age, 14C
	Calcium carbonate [%] (CaCO3) * PI: Wu, Jiawang (https://orcid.org/0000-0002-1670-1536, jwwu@tongji.edu.cn)
	Barium [µg/g] (Ba) * PI: Wu, Jiawang (https://orcid.org/0000-0002-1670-1536, jwwu@tongji.edu.cn)
	Strontium [µg/g] (Sr) * PI: Wu, Jiawang (https://orcid.org/0000-0002-1670-1536, jwwu@tongji.edu.cn)
	Calcium [%] (Ca) * PI: Wu, Jiawang (https://orcid.org/0000-0002-1670-1536, jwwu@tongji.edu.cn)
	Aluminium [%] (Al) * PI: Wu, Jiawang (https://orcid.org/0000-0002-1670-1536, jwwu@tongji.edu.cn)
	Iron [%] (Fe) * PI: Wu, Jiawang (https://orcid.org/0000-0002-1670-1536, jwwu@tongji.edu.cn)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	1024 data points
*/
Event	Latitude	Longitude	Elevation [m]	Sample label	Samp type	Depth [m]	Age [ka BP]	CaCO3 [%]	Ba [µg/g]	Sr [µg/g]	Ca [%]	Al [%]	Fe [%]
SL73BC	39.6617	24.5117	-339	SL73-1	non-S1	0.0045	1.66	61.5	243	834	19.13	3.99	2.08
SL73BC	39.6617	24.5117	-339	SL73-2	non-S1	0.0465	3.13	55.1	262	753	16.56	4.70	2.51
SL73BC	39.6617	24.5117	-339	SL73-3	non-S1	0.0665	4.13	53.0	288	780	16.52	5.13	2.70
SL73BC	39.6617	24.5117	-339	SL73-4	S1b	0.1215	5.75	43.4	354	652	12.94	5.57	3.47
SL73BC	39.6617	24.5117	-339	SL73-5	S1b	0.1765	7.30	41.8	416	632	12.84	5.72	2.87
SL73BC	39.6617	24.5117	-339	SL73-6	S1a	0.1915	7.78	42.3	401	618	12.57	5.70	3.03
SL73BC	39.6617	24.5117	-339	SL73-7	S1a	0.2215	8.65	42.6	385	660	12.91	5.78	2.98
SL73BC	39.6617	24.5117	-339	SL73-8	non-S1	0.2675	9.94	39.1	369	579	11.38	5.98	3.17
SL73BC	39.6617	24.5117	-339	SL73-9	non-S1	0.3025	10.82	34.8	396	511	9.85	6.34	3.37
AP1GC	39.2167	19.1133	-811	AP1-1	S1b	0.2125	6.01	58.5	264	740	18.78	4.76	2.53
AP1GC	39.2167	19.1133	-811	AP1-2	S1b	0.2625	7.41	51.2	465	672	15.11	5.62	3.08
AP1GC	39.2167	19.1133	-811	AP1-3	S1a	0.2925	8.24	55.4	434	688	16.04	5.27	2.91
AP1GC	39.2167	19.1133	-811	AP1-4	S1a	0.3175	8.80	54.0	453	678	15.19	5.40	3.45
AP1GC	39.2167	19.1133	-811	AP1-5	S1a	0.3375	9.50	53.6	425	663	15.73	5.44	3.32
AP1GC	39.2167	19.1133	-811	AP1-6	non-S1	0.3875	10.89	54.4	239	716	16.83	5.22	2.50
AP1GC	39.2167	19.1133	-811	AP1-7	non-S1	0.3975	11.17	56.9	214	661	17.50	5.09	2.49
AP1GC	39.2167	19.1133	-811	AP1-8	non-S1	0.4975	13.96	58.6	201	583	17.50	4.86	2.45
AP1GC	39.2167	19.1133	-811	AP1-9	non-S1	0.7000	19.61	61.9	185	550	19.53	4.32	2.47
BC07BC	33.6667	32.6667	-893	BC07-1	non-S1	0.0025	1.30	74.6	82	869	24.12	2.93	2.08
BC07BC	33.6667	32.6667	-893	BC07-2	non-S1	0.0525	2.80	71.4	88	909	22.89	3.37	2.31
BC07BC	33.6667	32.6667	-893	BC07-3	non-S1	0.1025	4.32	73.0	83	968	24.06	3.26	2.27
BC07BC	33.6667	32.6667	-893	BC07-4	S1b	0.1525	5.82	64.6	333	939	20.38	4.12	2.99
BC07BC	33.6667	32.6667	-893	BC07-5	S1b	0.2025	7.31	59.7	335	865	17.96	4.61	3.34
BC07BC	33.6667	32.6667	-893	BC07-6	S1a	0.2225	7.90	61.5	294	842	18.76	4.19	3.77
BC07BC	33.6667	32.6667	-893	BC07-7	S1a	0.2425	8.51	55.0	264	741	15.53	4.54	5.26
BC07BC	33.6667	32.6667	-893	BC07-8	S1a	0.2625	9.10	56.9	206	780	16.89	4.76	3.31
BC07BC	33.6667	32.6667	-893	BC07-9	S1a	0.2975	10.15	58.7	276	833	17.35	4.67	2.99
BC07BC	33.6667	32.6667	-893	BC07-10	non-S1	0.3175	10.75	58.3	241	784	17.40	4.59	3.04
BC07BC	33.6667	32.6667	-893	BC07-11	non-S1	0.3625	12.10	60.2	144	756	18.17	4.46	3.05
BC07BC	33.6667	32.6667	-893	BC07-12	non-S1	0.4025	13.30	71.1	113	839	22.45	3.02	2.04
BC07BC	33.6667	32.6667	-893	BC07-13	non-S1	0.4825	15.70	67.5	124	602	21.17	3.30	2.28
UM42BC	34.9533	17.8633	-1375	UM42-1	non-S1	0.0465	1.81	66.0	148	768	21.48	4.05	2.15
UM42BC	34.9533	17.8633	-1375	UM42-4	non-S1	0.0915	3.29	67.7	133	747	22.59	3.84	2.01
UM42BC	34.9533	17.8633	-1375	UM42-5	S1b	0.1915	6.58	64.8	307	923	21.04	4.22	2.20
UM42BC	34.9533	17.8633	-1375	UM42-6	S1b	0.2215	7.56	65.1	742	1011	21.56	4.12	2.14
UM42BC	34.9533	17.8633	-1375	UM42-7	S1a	0.2315	7.89	65.4	814	985	20.80	4.12	2.20
UM42BC	34.9533	17.8633	-1375	UM42-8	S1a	0.2615	8.88	60.7	776	974	18.90	4.47	2.91
UM42BC	34.9533	17.8633	-1375	UM42-9	S1a	0.2715	9.21	59.5	600	945	18.76	4.37	2.90
UM42BC	34.9533	17.8633	-1375	UM42-10	S1a	0.2865	9.70	63.3	263	907	20.56	4.06	2.38
UM42BC	34.9533	17.8633	-1375	UM42-11	non-S1	0.3215	10.85	61.4	180	674	19.91	4.21	2.25
UM42BC	34.9533	17.8633	-1375	UM42-12	non-S1	0.3465	11.67	65.3	152	590	19.61	3.46	1.57
CP10BC	34.5450	16.5667	-1501	CP10-1	non-S1	0.0025	1.00	62.4	150	611	20.13	3.71	1.90
CP10BC	34.5450	16.5667	-1501	CP10-2	non-S1	0.0325	1.69	57.7	172	643	20.17	4.74	2.40
CP10BC	34.5450	16.5667	-1501	CP10-3	non-S1	0.1225	3.73	57.7	187	665	20.26	4.74	2.40
CP10BC	34.5450	16.5667	-1501	CP10-4	non-S1	0.1525	4.41	57.8	158	719	20.26	4.73	2.38
CP10BC	34.5450	16.5667	-1501	CP10-5	non-S1	0.1775	4.98	56.8	157	728	19.02	4.65	2.31
CP10BC	34.5450	16.5667	-1501	CP10-6	non-S1	0.1925	5.32	52.6	254	782	16.93	4.91	2.45
CP10BC	34.5450	16.5667	-1501	CP10-7	S1b	0.2150	5.83	53.3	509	920	18.26	5.09	2.51
CP10BC	34.5450	16.5667	-1501	CP10-8	S1b	0.2300	6.17	57.0	822	1034	20.75	5.07	2.54
CP10BC	34.5450	16.5667	-1501	CP10-9	S1b	0.2475	6.57	52.8	833	951	18.41	5.29	2.77
CP10BC	34.5450	16.5667	-1501	CP10-10	S1b	0.2625	6.91	52.8	871	930	16.76	5.13	2.92
CP10BC	34.5450	16.5667	-1501	CP10-11	S1b	0.2775	7.25	50.9	842	901	17.59	5.33	3.11
CP10BC	34.5450	16.5667	-1501	CP10-12	S1b	0.2875	7.48	50.2	840	898	16.60	5.19	3.20
CP10BC	34.5450	16.5667	-1501	CP10-13	S1b	0.2950	7.65	52.5	824	931	17.62	4.89	3.41
CP10BC	34.5450	16.5667	-1501	CP10-14	S1a	0.3025	7.82	49.1	813	839	15.35	5.05	3.48
CP10BC	34.5450	16.5667	-1501	CP10-15	S1a	0.3100	7.99	48.7	827	939	16.02	5.34	3.24
CP10BC	34.5450	16.5667	-1501	CP10-16	S1a	0.3250	8.33	48.6	798	855	16.11	5.51	3.05
CP10BC	34.5450	16.5667	-1501	CP10-17	S1a	0.3375	8.62	50.2	667	837	16.51	5.19	2.64
CP10BC	34.5450	16.5667	-1501	CP10-18	S1a	0.3475	8.84	49.8	637	903	17.28	5.58	2.63
SL29BC	33.3900	32.5033	-1587	SL29-1	non-S1	0.0525	3.25	66.5	89	861	21.64	3.71	2.40
SL29BC	33.3900	32.5033	-1587	SL29-2	non-S1	0.1025	4.42	65.0	90	915	21.57	3.86	2.48
SL29BC	33.3900	32.5033	-1587	SL29-3	S1b	0.1775	6.18	56.4	467	869	17.07	4.61	3.05
